Ziad Aboultaif,
Scott Aitchison,
Dan Albas,Sagittarius
John Aldag,
Omar Alghabra,Scorpio
Shafqat Ali,
Dean Allison,Aquarius
Anita Anand,
Gary Anandasangaree,
Charlie Angus,Scorpio
Mel Arnold,
René Arseneault,
Chandra Arya,
Niki Ashton,Virgo
Jenica Atwin,Capricorn
Taylor Bachrach,
Vance Badawey,Libra
Paramvir Bains,
Yvan Baker,Sagittarius
Tony Baldinelli,
John Barlow,Libra, abolished ??? 
Michael Barrett,
Lisa Marie Barron,
Xavier Barsalou-Duval,Scorpio
Jaime Battiste,
Mario Beaulieu,Aquarius
Terry Beech,Aries
Rachel Bendayan,Taurus
Carolyn Bennett,Sagittarius
Bob Benzen,Pisces
Candice Bergen,Libra
Stéphane Bergeron,Aquarius
Luc Berthold,
Sylvie Bérubé,
James Bezan,Taurus
Marie-Claude Bibeau,Aries
Chris Bittle,Aquarius
Daniel Blaikie,
Bill Blair,Libra
Yves-François Blanchet,Aries
Maxime Blanchette-Joncas,
Rachel Blaney,
Kelly Block,Sagittarius
Kody Blois,Capricorn
Randy Boissonnault,Cancer
Alexandre Boulerice,Gemini
Valerie Bradford,
Richard Bragdon,
John Brassard,Taurus
Élisabeth Brière,
Larry Brock,
Alexis Brunelle-Duceppe,Cancer
Blaine Calkins,Capricorn
Richard Cannings,Aries
Frank Caputo,
Jim Carr,Libra
Colin Carrie,Aries
Sean Casey,Taurus
Louise Chabot,
Bardish Chagger,Aries
Harnirjodh Chahal,
Adam Chambers,
François-Philippe Champagne,Cancer
Martin Champoux,
Sophie Chatel,
Shaun Chen,Virgo
Paul Chiang,
Michael Chong,Scorpio
Chad Collins,
Laurel Collins,Taurus
Michael Cooper,Pisces
Serge Cormier,
Michael Coteau,
Julie Dabrusin,Aries
Marc Dalton,Gemini
Pam Damoff,
Raquel Dancho,Aries
Scot Davidson,
Don Davies,Capricorn
Claude DeBellefeuille,Sagittarius
Gérard Deltell,Leo
Chris d'Entremont,Scorpio
Caroline Desbiens,
Luc Desilets,
Blake Desjarlais,
Sukh Dhaliwal,Libra
Anju Dhillon,
Lena Metlege Diab,
Todd Doherty,
Han Dong,
Terry Dowdall,
Earl Dreeshen,Cancer
Francis Drouin,Libra
Emmanuel Dubourg,Capricorn
Jean-Yves Duclos,
Terry Duguid,
Eric Duncan,Scorpio
Kirsty Duncan,Scorpio
Julie Dzerowicz,Capricorn
Ali Ehsassi,Taurus
Fayçal El-Khoury,Taurus
Stephen Ellis,
Dave Epp,Gemini
Nathaniel Erskine-Smith,Gemini
Rosemarie Falk,
Ted Falk,Gemini
Ed Fast,Gemini
Greg Fergus,Gemini
Michelle Ferreri,
Andy Fillmore,
Kerry-Lynne Findlay,
Darren Fisher,Virgo
Peter Fonseca,Libra
Mona Fortier,
Rhéal Fortin,
Peter Fragiskatos,Taurus
Sean Fraser,Gemini
Chrystia Freeland,Leo
Hedy Fry,Leo
Iqwinder Gaheer,Cancer
Cheryl Gallant,Gemini
Marc Garneau,Pisces
Jean-Denis Garon,
Randall Garrison,Virgo
Marie-Hélène Gaudreau,
Leah Gazan,
Bernard Généreux,Taurus
Garnett Genuis,Aquarius
Mark Gerretsen,Gemini
Marilène Gill,
Marilyn Gladu,
Joël Godin,Pisces
Laila Goodridge,
Karina Gould,Cancer
Jacques Gourde,Aquarius
Tracy Gray,
Matthew Green,Virgo
Steven Guilbeault,Gemini
Patty Hajdu,Scorpio
Jasraj Singh Hallan,
Brendan Hanley,
Rachael Harder,
Ken Hardie,
Lisa Hepfner,
Randy Hoback,Sagittarius
Mark Holland,Libra
Anthony Housefather,Aquarius
Carol Hughes,Sagittarius
Ahmed Hussen,
Gudie Hutchings,Virgo
Angelo Iacono,Pisces
Lori Idlout,
Marci Ien,Leo
Helena Jaczek,Scorpio
Matt Jeneroux,
Gord Johns,Sagittarius
Mélanie Joly,Capricorn
Yvonne Jones,Pisces
Majid Jowhari,Scorpio
Peter Julian,Aries
Arielle Kayabaga,
Mike Kelloway,Virgo
Pat Kelly,
Iqra Khalid,Scorpio
Kamal Khera,Aquarius
Robert Kitchen,
Tom Kmiec,Leo
Annie Koutrakis,
Michael Kram,Sagittarius
Shelby Kramp-Neuman,
Damien Kurek,
Stephanie Kusie,
Irek Kusmierczyk,Capricorn
Jenny Kwan,
Mike Lake,Gemini
Marie-France Lalonde,
Emmanuella Lambropoulos,Virgo
David Lametti,Leo
Kevin Lamoureux,Aquarius
